x-axis,1
second,Volt
-7.640000E-06,-37.734924234E-03
-7.635000E-06,-36.729899119E-03
-7.630000E-06,-37.734924234E-03
-7.625000E-06,-35.724874004E-03
-7.620000E-06,-37.332914188E-03
-7.615000E-06,-34.518843866E-03
-7.610000E-06,-35.523868981E-03
-7.605000E-06,-34.920853912E-03
-7.600000E-06,-36.528894096E-03
-7.595000E-06,-35.322863958E-03
-7.590000E-06,-33.714823774E-03
-7.585000E-06,-36.126884050E-03
-7.580000E-06,-36.327889073E-03
-7.575000E-06,-37.131909165E-03
-7.570000E-06,-36.729899119E-03
-7.565000E-06,-32.910803682E-03
-7.560000E-06,-33.915828797E-03
-7.555000E-06,-35.925879027E-03
-7.550000E-06,-38.538944325E-03
-7.545000E-06,-36.930904142E-03
-7.540000E-06,-37.935929256E-03
-7.535000E-06,-36.327889073E-03
-7.530000E-06,-34.518843866E-03
-7.525000E-06,-35.925879027E-03
-7.520000E-06,-35.724874004E-03
-7.515000E-06,-35.724874004E-03
-7.510000E-06,-38.136934279E-03
-7.505000E-06,-36.528894096E-03
-7.500000E-06,-35.322863958E-03
-7.495000E-06,-38.337939302E-03
-7.490000E-06,-34.920853912E-03
-7.485000E-06,-38.538944325E-03
-7.480000E-06,-37.131909165E-03
-7.475000E-06,-37.131909165E-03
-7.470000E-06,-41.956029716E-03
-7.465000E-06,-37.131909165E-03
-7.460000E-06,-36.126884050E-03
-7.455000E-06,-38.538944325E-03
-7.450000E-06,-40.548994555E-03
-7.445000E-06,-36.528894096E-03
-7.440000E-06,-37.533919211E-03
-7.435000E-06,-38.337939302E-03
-7.430000E-06,-36.729899119E-03
-7.425000E-06,-36.126884050E-03
-7.420000E-06,-35.925879027E-03
-7.415000E-06,-36.930904142E-03
-7.410000E-06,-37.332914188E-03
-7.405000E-06,-39.141959394E-03
-7.400000E-06,-36.729899119E-03
-7.395000E-06,-39.141959394E-03
-7.390000E-06,-39.141959394E-03
-7.385000E-06,-37.131909165E-03
-7.380000E-06,-31.503768521E-03
-7.375000E-06,-38.337939302E-03
-7.370000E-06,-37.131909165E-03
-7.365000E-06,-37.131909165E-03
-7.360000E-06,-35.724874004E-03
-7.355000E-06,-36.528894096E-03
-7.350000E-06,-38.136934279E-03
-7.345000E-06,-35.925879027E-03
-7.340000E-06,-36.930904142E-03
-7.335000E-06,-36.528894096E-03
-7.330000E-06,-36.327889073E-03
-7.325000E-06,-35.322863958E-03
-7.320000E-06,-35.523868981E-03
-7.315000E-06,-36.930904142E-03
-7.310000E-06,-36.126884050E-03
-7.305000E-06,-38.538944325E-03
-7.300000E-06,-37.533919211E-03
-7.295000E-06,-39.342964417E-03
-7.290000E-06,-37.734924234E-03
-7.285000E-06,-35.925879027E-03
-7.280000E-06,-37.131909165E-03
-7.275000E-06,-36.327889073E-03
-7.270000E-06,-34.518843866E-03
-7.265000E-06,-40.347989532E-03
-7.260000E-06,-38.337939302E-03
-7.255000E-06,-37.935929257E-03
-7.250000E-06,-35.523868981E-03
-7.245000E-06,-35.322863958E-03
-7.240000E-06,-35.523868981E-03
-7.235000E-06,-38.538944325E-03
-7.230000E-06,-34.719848889E-03
-7.225000E-06,-36.327889073E-03
-7.220000E-06,-38.940954371E-03
-7.215000E-06,-36.126884050E-03
-7.210000E-06,-35.523868981E-03
-7.205000E-06,-36.327889073E-03
-7.200000E-06,-39.744974463E-03
-7.195000E-06,-33.714823774E-03
-7.190000E-06,-36.126884050E-03
-7.185000E-06,-34.719848889E-03
-7.180000E-06,-38.337939302E-03
-7.175000E-06,-36.930904142E-03
-7.170000E-06,-36.327889073E-03
-7.165000E-06,-34.719848889E-03
-7.160000E-06,-37.131909165E-03
-7.155000E-06,-36.126884050E-03
-7.150000E-06,-37.533919211E-03
-7.145000E-06,-36.528894096E-03
-7.140000E-06,-36.126884050E-03
-7.135000E-06,-33.915828797E-03
-7.130000E-06,-37.734924234E-03
-7.125000E-06,-33.714823774E-03
-7.120000E-06,-37.533919211E-03
-7.115000E-06,-36.528894096E-03
-7.110000E-06,-35.523868981E-03
-7.105000E-06,-34.719848889E-03
-7.100000E-06,-36.126884050E-03
-7.095000E-06,-37.131909165E-03
-7.090000E-06,-37.734924234E-03
-7.085000E-06,-41.554019670E-03
-7.080000E-06,-38.538944325E-03
-7.075000E-06,-36.528894096E-03
-7.070000E-06,-37.935929256E-03
-7.065000E-06,-39.543969440E-03
-7.060000E-06,-39.543969440E-03
-7.055000E-06,-39.342964417E-03
-7.050000E-06,-40.347989532E-03
-7.045000E-06,-40.347989532E-03
-7.040000E-06,-39.945979486E-03
-7.035000E-06,-40.146984509E-03
-7.030000E-06,-40.548994555E-03
-7.025000E-06,-38.739949348E-03
-7.020000E-06,-36.729899119E-03
-7.015000E-06,-38.136934279E-03
-7.010000E-06,-37.935929256E-03
-7.005000E-06,-37.734924234E-03
-7.000000E-06,-36.729899119E-03
-6.995000E-06,-37.935929256E-03
-6.990000E-06,-36.528894096E-03
-6.985000E-06,-38.337939302E-03
-6.980000E-06,-35.724874004E-03
-6.975000E-06,-37.734924234E-03
-6.970000E-06,-33.714823774E-03
-6.965000E-06,-36.126884050E-03
-6.960000E-06,-31.905778567E-03
-6.955000E-06,-34.719848889E-03
-6.950000E-06,-34.317838843E-03
-6.945000E-06,-31.704773544E-03
-6.940000E-06,-36.729899119E-03
-6.935000E-06,-35.925879027E-03
-6.930000E-06,-36.327889073E-03
-6.925000E-06,-38.739949348E-03
-6.920000E-06,-35.121858935E-03
-6.915000E-06,-36.126884050E-03
-6.910000E-06,-34.317838843E-03
-6.905000E-06,-39.342964417E-03
-6.900000E-06,-36.930904142E-03
-6.895000E-06,-34.116833820E-03
-6.890000E-06,-36.729899119E-03
-6.885000E-06,-34.920853912E-03
-6.880000E-06,-37.935929256E-03
-6.875000E-06,-36.327889073E-03
-6.870000E-06,-40.548994555E-03
-6.865000E-06,-35.322863958E-03
-6.860000E-06,-33.513818751E-03
-6.855000E-06,-39.342964417E-03
-6.850000E-06,-35.724874004E-03
-6.845000E-06,-35.523868981E-03
-6.840000E-06,-39.141959394E-03
-6.835000E-06,-38.136934279E-03
-6.830000E-06,-37.533919211E-03
-6.825000E-06,-34.116833820E-03
-6.820000E-06,-37.533919211E-03
-6.815000E-06,-36.327889073E-03
-6.810000E-06,-34.920853912E-03
-6.805000E-06,-37.332914188E-03
-6.800000E-06,-37.734924234E-03
-6.795000E-06,-34.116833820E-03
-6.790000E-06,-34.116833820E-03
