#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,200000.0,0.1250,-5.25,157.56
2,214922.1,0.1250,-5.28,155.68
3,230957.5,0.1250,-5.33,153.89
4,248189.3,0.1250,-5.40,152.05
5,266706.8,0.1250,-5.48,149.97
6,286605.9,0.1250,-5.58,147.93
7,307989.6,0.1250,-5.63,145.66
8,330968.9,0.1250,-5.73,143.39
9,355662.6,0.1250,-5.85,140.80
10,382198.7,0.1250,-5.93,138.24
11,410714.7,0.1250,-6.05,135.54
12,441358.2,0.1250,-6.16,132.66
13,474288.1,0.1250,-6.29,129.74
14,509674.9,0.1250,-6.46,126.59
15,547702.0,0.1250,-6.58,123.00
16,588566.2,0.1250,-6.76,119.45
17,632479.3,0.1250,-6.97,115.88
18,679668.8,0.1250,-7.17,112.21
19,730379.2,0.1250,-7.33,108.15
20,784873.0,0.1250,-7.58,104.19
21,843432.7,0.1250,-7.82,99.48
22,906361.5,0.1250,-8.12,95.63
23,973985.4,0.1250,-8.20,90.45
24,1046654.8,0.1250,-8.39,85.86
25,1124746.1,0.1250,-8.62,79.85
26,1208663.8,0.1250,-8.89,74.22
27,1298842.7,0.1250,-8.87,67.59
28,1395749.8,0.1250,-9.05,61.33
29,1499887.2,0.1250,-9.25,54.15
30,1611794.3,0.1250,-9.36,46.21
31,1732050.8,0.1250,-9.42,36.64
32,1861279.7,0.1250,-9.54,29.42
33,2000150.5,0.1250,-9.56,20.24
34,2149382.4,0.1250,-9.86,6.93
35,2309748.6,0.1250,-9.89,-5.23
36,2482079.8,0.1250,-9.66,-15.92
37,2667268.6,0.1250,-9.92,-32.83
38,2866274.5,0.1250,-9.82,-48.32
39,3080128.2,0.1250,-10.05,-65.08
40,3309937.7,0.1250,-10.27,-84.32
41,3556893.3,0.1250,-10.71,-105.70
42,3822274.4,0.1250,-11.43,-128.24
43,4107455.6,0.1250,-11.97,-154.88
44,4413914.3,0.1250,-12.04,176.66
45,4743238.1,0.1250,-13.00,137.58
46,5097132.7,0.1250,-14.46,109.68
47,5477431.6,0.1250,-16.65,67.56
48,5886104.7,0.1250,-20.17,25.10
49,6325269.1,0.1250,-25.10,-6.93
50,6797199.7,0.1250,-27.47,-38.08
51,7304341.1,0.1250,-37.41,-96.37
52,7849320.6,0.1250,-40.53,-103.50
53,8434961.2,0.1250,-50.90,-152.51
54,9064296.7,0.1250,-50.43,146.56
55,9740587.1,0.1250,-57.41,148.17
56,10467335.7,0.1250,-53.90,-36.12
57,11248307.4,0.1250,-66.21,17.94
58,12087547.6,0.1250,-54.61,-26.17
59,12989403.8,0.1250,-45.74,92.02
60,13958547.8,0.1250,-55.22,78.14
61,15000000.0,0.1250,-48.83,-17.61
