#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,200000,0.125,-0.39,157.5
2,214922.1,0.125,-0.43,155.84
3,230957.5,0.125,-0.46,153.97
4,248189.3,0.125,-0.54,152.11
5,266706.8,0.125,-0.6,150.04
6,286605.9,0.125,-0.67,147.89
7,307989.6,0.125,-0.74,145.71
8,330968.9,0.125,-0.83,143.18
9,355662.6,0.125,-0.95,140.95
10,382198.7,0.125,-1.03,138.25
11,410714.7,0.125,-1.15,135.55
12,441358.2,0.125,-1.28,132.7
13,474288.1,0.125,-1.43,129.67
14,509674.9,0.125,-1.51,126.56
15,547702,0.125,-1.69,123.02
16,588566.2,0.125,-1.89,119.58
17,632479.3,0.125,-2.05,115.81
18,679668.8,0.125,-2.2,111.86
19,730379.2,0.125,-2.48,107.38
20,784873,0.125,-2.62,103.54
21,843432.7,0.125,-2.83,99.52
22,906361.5,0.125,-3.06,94.75
23,973985.4,0.125,-3.25,89.97
24,1046654.8,0.125,-3.37,84.8
25,1124746.1,0.125,-3.53,78.9
26,1208663.8,0.125,-3.71,74.14
27,1298842.7,0.125,-3.88,67.67
28,1395749.8,0.125,-4.06,60.45
29,1499887.2,0.125,-4.12,53.45
30,1611794.3,0.125,-4.37,44.82
31,1732050.8,0.125,-4.32,36.91
32,1861279.7,0.125,-4.36,26.95
33,2000150.5,0.125,-4.5,17.71
34,2149382.4,0.125,-4.59,4.48
35,2309748.6,0.125,-4.76,-5.23
36,2482079.8,0.125,-4.79,-19.46
37,2667268.6,0.125,-5.25,-35.12
38,2866274.5,0.125,-5.31,-50.8
39,3080128.2,0.125,-5.21,-69.17
40,3309937.7,0.125,-5.14,-87.66
41,3556893.3,0.125,-5.17,-111.55
42,3822274.4,0.125,-5.71,-132.14
43,4107455.6,0.125,-6.09,-161.18
44,4413914.3,0.125,-7.27,171.17
45,4743238.1,0.125,-8.23,135.09
46,5097132.7,0.125,-9.31,97
47,5477431.6,0.125,-11.49,63.61
48,5886104.7,0.125,-14.05,25.11
49,6325269.1,0.125,-18.62,-20.51
50,6797199.7,0.125,-21.95,-65.01
51,7304341.1,0.125,-27.82,-62.53
52,7849320.6,0.125,-34.54,-114.85
53,8434961.2,0.125,-44.83,-141.14
54,9064296.7,0.125,-46.02,-160.66
55,9740587.1,0.125,-49.04,-177.18
56,10467335.7,0.125,-45.67,13.64
57,11248307.4,0.125,-50.09,54.06
58,12087547.6,0.125,-55.06,99.17
59,12989403.8,0.125,-46.61,-183.72
60,13958547.8,0.125,-67.52,64.6
61,15000000,0.125,-52.27,146.62
