#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000000,0.125,-3.25,87.59
2,1013632.3,0.125,-3.3,86.73
3,1027450.5,0.125,-3.37,86.23
4,1041457.1,0.125,-3.35,85.01
5,1055654.6,0.125,-3.41,83.89
6,1070045.6,0.125,-3.41,82.62
7,1084632.8,0.125,-3.47,81.97
8,1099418.9,0.125,-3.49,81.22
9,1114406.5,0.125,-3.49,79.74
10,1129598.5,0.125,-3.64,79.1
11,1144997.6,0.125,-3.6,77.61
12,1160606.6,0.125,-3.59,76.37
13,1176428.3,0.125,-3.65,75.3
14,1192465.8,0.125,-3.72,74.98
15,1208721.9,0.125,-3.74,73.13
16,1225199.6,0.125,-3.73,72.45
17,1241901.9,0.125,-3.8,70.63
18,1258831.9,0.125,-3.83,70.1
19,1275992.8,0.125,-3.83,68.78
20,1293387.5,0.125,-3.89,67.17
21,1311019.4,0.125,-3.96,66.26
22,1328891.7,0.125,-3.94,65.2
23,1347007.6,0.125,-3.99,63.54
24,1365370.4,0.125,-3.96,62.73
25,1383983.6,0.125,-4,61.17
26,1402850.6,0.125,-4.04,60.32
27,1421974.7,0.125,-3.97,58.39
28,1441359.5,0.125,-4.1,56.77
29,1461008.6,0.125,-4.07,55.72
30,1480925.6,0.125,-4.06,54.65
31,1501114,0.125,-4.16,52.61
32,1521577.7,0.125,-4.17,51.41
33,1542320.4,0.125,-4.12,49.06
34,1563345.8,0.125,-4.17,48.54
35,1584657.9,0.125,-4.31,46.56
36,1606260.5,0.125,-4.32,45.75
37,1628157.5,0.125,-4.22,43.7
38,1650353.1,0.125,-4.31,42.72
39,1672851.3,0.125,-4.34,39.75
40,1695656.2,0.125,-4.33,38.46
41,1718771.9,0.125,-4.39,37.53
42,1742202.8,0.125,-4.42,35.27
43,1765953.1,0.125,-4.46,32.91
44,1790027.2,0.125,-4.37,32.14
45,1814429.4,0.125,-4.43,30.74
46,1839164.3,0.125,-4.44,28.14
47,1864236.4,0.125,-4.38,26.65
48,1889650.3,0.125,-4.31,23.96
49,1915410.7,0.125,-4.49,23.13
50,1941522.2,0.125,-4.66,21.55
51,1967989.7,0.125,-4.52,19.27
52,1994818,0.125,-4.47,17.77
53,2022012,0.125,-4.65,14.53
54,2049576.7,0.125,-4.53,13.04
55,2077517.3,0.125,-4.58,10.33
56,2105838.7,0.125,-4.76,8.64
57,2134546.2,0.125,-4.73,7.13
58,2163645,0.125,-4.79,4.2
59,2193140.6,0.125,-4.78,1.63
60,2223038.2,0.125,-4.87,-0.89
61,2253343.4,0.125,-4.72,-3.36
62,2284061.7,0.125,-4.63,-5.57
63,2315198.8,0.125,-4.79,-7.41
64,2346760.4,0.125,-4.59,-9.65
65,2378752.2,0.125,-4.73,-10.8
66,2411180.1,0.125,-4.78,-15.94
67,2444050.2,0.125,-4.89,-17.02
68,2477368.3,0.125,-4.79,-20.77
69,2511140.6,0.125,-4.73,-22.37
70,2545373.3,0.125,-4.53,-25.58
71,2580072.7,0.125,-4.9,-27.51
72,2615245.1,0.125,-4.88,-29.43
73,2650897,0.125,-4.78,-32.33
74,2687034.9,0.125,-4.83,-36.96
75,2723665.5,0.125,-4.71,-38.13
76,2760795.4,0.125,-5.12,-42.64
77,2798431.5,0.125,-4.95,-45.84
78,2836580.6,0.125,-4.84,-49.77
79,2875249.9,0.125,-4.9,-52.28
80,2914446.2,0.125,-5.35,-54.28
81,2954176.9,0.125,-5.24,-57.63
82,2994449.3,0.125,-5.16,-62.82
83,3035270.6,0.125,-5.11,-63.89
84,3076648.4,0.125,-5.5,-70.22
85,3118590.3,0.125,-5.25,-72
86,3161104,0.125,-5.49,-75.24
87,3204197.2,0.125,-5.26,-78.41
88,3247877.9,0.125,-5.3,-81.58
89,3292154.1,0.125,-5.21,-85.59
90,3337033.8,0.125,-5.08,-91.64
91,3382525.4,0.125,-5.19,-94.87
92,3428637.1,0.125,-5.18,-98.85
93,3475377.5,0.125,-5.36,-102.8
94,3522755,0.125,-5.22,-106.63
95,3570778.3,0.125,-5.3,-113.55
96,3619456.4,0.125,-5.49,-111.12
97,3668798,0.125,-5.52,-119.46
98,3718812.3,0.125,-5.46,-125.18
99,3769508.4,0.125,-5.86,-128.1
100,3820895.6,0.125,-5.69,-135.65
101,3872983.3,0.125,-5.85,-138.72
102,3925781.2,0.125,-5.86,-141.55
103,3979298.7,0.125,-5.94,-149.7
104,4033545.9,0.125,-6.36,-154.64
105,4088532.5,0.125,-5.93,-159.69
106,4144268.7,0.125,-6.56,-161.37
107,4200764.8,0.125,-6.83,-168.75
108,4258031,0.125,-6.2,184.42
109,4316078,0.125,-6.71,179.02
110,4374916.2,0.125,-6.74,170.89
111,4434556.5,0.125,-6.93,168.05
112,4495009.9,0.125,-6.68,166.54
113,4556287.3,0.125,-7.92,155.98
114,4618400.2,0.125,-7.85,151.25
115,4681359.8,0.125,-8.09,144.67
116,4745177.6,0.125,-8.31,140.76
117,4809865.5,0.125,-8.19,127.38
118,4875435.2,0.125,-8.34,124.48
119,4941898.7,0.125,-8.72,117.08
120,5009268.4,0.125,-9.06,108.69
121,5077556.4,0.125,-9.26,100.98
122,5146775.3,0.125,-10.26,94.54
123,5216937.9,0.125,-10.29,86.51
124,5288057,0.125,-10.28,76.71
125,5360145.5,0.125,-10.67,72.95
126,5433216.8,0.125,-12.11,64.45
127,5507284.3,0.125,-12.23,56.75
128,5582361.4,0.125,-13.06,52.69
129,5658462,0.125,-12.88,49.28
130,5735600.1,0.125,-13.53,38.64
131,5813789.7,0.125,-14,29.58
132,5893045.2,0.125,-15.14,21.87
133,5973381.2,0.125,-16.55,16.61
134,6054812.3,0.125,-15.52,3.84
135,6137353.6,0.125,-17.36,-6.51
136,6221020,0.125,-16.66,-9.63
137,6305827.1,0.125,-19.18,-16.08
138,6391790.2,0.125,-19.92,-25.36
139,6478925.2,0.125,-19.98,-28.97
140,6567248.1,0.125,-20.74,-28.42
141,6656775.1,0.125,-21.11,-42.35
142,6747522.4,0.125,-23.22,-50.55
143,6839506.9,0.125,-26.21,-50.42
144,6932745.4,0.125,-27.03,-41.04
145,7027254.9,0.125,-27.96,-69.65
146,7123052.8,0.125,-25.94,-75.57
147,7220156.6,0.125,-27.77,-72.55
148,7318584.2,0.125,-29.26,-79.65
149,7418353.6,0.125,-29.32,-84.71
150,7519483.1,0.125,-30.5,-104.59
