#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
151,7621991.2,0.125,-32.31,-93.45
152,7725896.8,0.125,-33.12,-102.18
153,7831218.8,0.125,-33.24,-110.91
154,7937976.6,0.125,-34.63,-105.53
155,8046189.7,0.125,-38.12,-151.86
156,8155878.1,0.125,-34.04,-140.56
157,8267061.8,0.125,-35.54,-119.05
158,8379761.1,0.125,-37.94,-137.66
159,8493996.8,0.125,-48.4,-116.68
160,8609789.8,0.125,-46.32,-174.45
161,8727161.4,0.125,-42.76,-90.2
162,8846133,0.125,-40.93,-155.87
163,8966726.4,0.125,-39.13,-145.12
164,9088963.9,0.125,-54.55,-111.65
165,9212867.7,0.125,-41.09,160.28
166,9338460.6,0.125,-54.69,-142.25
167,9465765.6,0.125,-57.64,69.71
168,9594806.1,0.125,-52.18,-127.96
169,9725605.7,0.125,-46.99,-181.92
170,9858188.4,0.125,-48.07,-185.1
171,9992578.5,0.125,-57.69,-135.3
172,10128800.7,0.125,-49.37,55.1
173,10266879.9,0.125,-51.59,45.29
174,10406841.5,0.125,-47.14,-167.49
175,10548711,0.125,-46.92,147.9
176,10692514.6,0.125,-57.02,141.87
177,10838278.5,0.125,-55.69,-157.75
178,10986029.6,0.125,-54.12,-81.09
179,11135794.8,0.125,-61.07,-111.98
180,11287601.7,0.125,-45.9,143.56
181,11441478.1,0.125,-47.87,-23.25
182,11597452.2,0.125,-55.64,-171.53
183,11755552.5,0.125,-57.21,-165.62
184,11915808.1,0.125,-47.98,48.33
185,12078248.4,0.125,-48.12,40.32
186,12242903.2,0.125,-56.45,-5.57
187,12409802.5,0.125,-50.98,-100.36
188,12578977.1,0.125,-58.81,-115.96
189,12750458,0.125,-48.23,25.9
190,12924276.5,0.125,-48.09,-13.57
191,13100464.5,0.125,-44.74,47.97
192,13279054.5,0.125,-52.82,74.53
193,13460079,0.125,-68.14,-80.6
194,13643571.3,0.125,-47.91,79.15
195,13829565,0.125,-65.88,45.76
196,14018094.3,0.125,-41.91,-16.72
197,14209193.7,0.125,-56.33,42.44
198,14402898.2,0.125,-50.02,115
199,14599243.3,0.125,-47.1,-155.51
200,14798265.1,0.125,-51.27,94.46
201,15000000,0.125,-49.58,141.98
