#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,1000000.0,0.1250,-8.29,88.39
2,1046168.2,0.1250,-8.47,85.28
3,1094467.9,0.1250,-8.54,82.08
4,1144997.6,0.1250,-8.68,78.20
5,1197860.1,0.1250,-8.81,75.78
6,1253163.1,0.1250,-8.96,71.35
7,1311019.4,0.1250,-9.12,67.03
8,1371546.8,0.1250,-9.13,62.81
9,1434868.7,0.1250,-9.27,59.43
10,1501114.0,0.1250,-9.30,53.72
11,1570417.8,0.1250,-9.33,48.99
12,1642921.2,0.1250,-9.34,43.79
13,1718771.9,0.1250,-9.56,37.89
14,1798124.6,0.1250,-9.55,33.44
15,1881140.8,0.1250,-9.66,26.79
16,1967989.7,0.1250,-9.88,20.36
17,2058848.2,0.1250,-9.83,13.01
18,2153901.6,0.1250,-9.98,7.02
19,2253343.4,0.1250,-9.74,0.22
20,2357376.2,0.1250,-10.00,-10.52
21,2466212.1,0.1250,-10.17,-16.77
22,2580072.7,0.1250,-10.00,-25.67
23,2699190.0,0.1250,-10.22,-35.85
24,2823806.8,0.1250,-10.30,-46.19
25,2954176.9,0.1250,-10.14,-56.09
26,3090566.0,0.1250,-10.46,-65.95
27,3233251.9,0.1250,-10.50,-78.63
28,3382525.4,0.1250,-10.89,-90.39
29,3538690.6,0.1250,-10.50,-104.09
30,3702065.6,0.1250,-10.72,-116.25
31,3872983.3,0.1250,-10.87,-138.08
32,4051792.1,0.1250,-11.44,-150.62
33,4238856.1,0.1250,-11.03,-166.36
34,4434556.5,0.1250,-12.38,172.98
35,4639292.1,0.1250,-12.72,153.38
36,4853479.9,0.1250,-14.10,128.80
37,5077556.4,0.1250,-14.97,107.71
38,5311978.1,0.1250,-15.90,87.54
39,5557222.7,0.1250,-18.11,64.42
40,5813789.7,0.1250,-19.61,28.69
41,6082202.0,0.1250,-21.24,4.63
42,6363006.4,0.1250,-24.22,-5.44
43,6656775.1,0.1250,-26.29,-29.13
44,6964106.5,0.1250,-30.00,-50.69
45,7285626.8,0.1250,-32.20,-81.73
46,7621991.2,0.1250,-34.16,-87.28
47,7973885.0,0.1250,-40.41,-156.92
48,8342025.0,0.1250,-38.59,-105.79
49,8727161.4,0.1250,-43.63,-156.17
50,9130078.8,0.1250,-52.98,65.25
51,9551598.3,0.1250,-54.81,-172.53
52,9992578.5,0.1250,-50.92,-6.62
53,10453918.0,0.1250,-48.82,-61.12
54,10936556.8,0.1250,-49.69,99.07
55,11441478.1,0.1250,-44.64,-67.47
56,11969710.7,0.1250,-54.76,-18.45
57,12522330.9,0.1250,-45.78,-81.11
58,13100464.5,0.1250,-49.34,-14.64
59,13705289.6,0.1250,-50.81,119.97
60,14338038.4,0.1250,-52.64,78.26
61,15000000.0,0.1250,-53.18,-85.59
